clientes_idclientes,producto_idproducto,tipo_entrega,estatus,fecha_registro
27,621,domicilio,en curso,2020-03-14 8:21
5,609,piso,en curso,2020-02-11 3:03
13,362,piso,lista,2021-09-19 12:50
65,651,domicilio,lista,2020-04-27 6:33
95,804,piso,lista,2019-07-15 5:39
71,940,domicilio,en curso,2019-07-26 7:07
9,726,piso,en curso,2020-08-29 11:36
80,185,piso,lista,2020-01-05 2:18
14,740,domicilio,en curso,2020-05-02 5:26
47,4,domicilio,en curso,2021-12-30 3:08
54,808,domicilio,lista,2021-02-13 5:43
71,341,piso,lista,2020-04-26 8:45
75,138,piso,lista,2020-07-18 12:42
98,601,domicilio,en curso,2020-06-21 11:22
99,563,piso,en curso,2019-06-02 4:21
40,70,piso,en curso,2020-03-28 6:29
92,855,piso,lista,2021-10-13 10:31
5,531,domicilio,lista,2020-04-28 10:42
63,607,piso,lista,2021-12-26 7:00
84,507,domicilio,en curso,2019-11-04 9:57
37,975,domicilio,lista,2020-11-19 5:32
38,433,domicilio,lista,2019-07-17 8:16
49,982,domicilio,lista,2020-07-26 10:45
15,160,piso,en curso,2020-01-03 11:11
5,587,domicilio,lista,2019-12-01 8:17
21,213,domicilio,lista,2021-05-12 10:31
9,980,piso,en curso,2021-03-25 2:23
90,230,domicilio,lista,2020-07-05 6:08
73,376,piso,lista,2021-11-25 7:14
12,151,piso,lista,2019-02-03 6:37
66,937,piso,lista,2019-07-16 2:27
29,133,piso,en curso,2019-07-27 6:14
53,447,domicilio,en curso,2019-02-24 6:43
89,863,piso,lista,2019-11-06 9:28
4,960,domicilio,en curso,2019-11-05 12:17
44,725,piso,lista,2021-02-28 7:52
37,584,piso,en curso,2019-01-28 4:21
62,657,piso,lista,2021-02-10 2:08
56,571,domicilio,en curso,2020-03-31 9:37
70,343,domicilio,lista,2020-03-29 5:19
15,993,domicilio,lista,2020-03-25 1:25
97,920,domicilio,lista,2019-01-31 1:49
90,66,piso,lista,2021-05-18 12:42
30,739,piso,lista,2019-03-03 1:17
67,299,domicilio,lista,2019-10-14 10:29
92,726,domicilio,en curso,2019-12-11 5:04
69,215,piso,lista,2020-11-24 8:01
48,920,domicilio,en curso,2020-06-09 3:01
3,169,piso,en curso,2019-04-11 7:47
22,923,domicilio,lista,2021-06-16 1:18
23,435,domicilio,lista,2020-02-03 11:47
72,574,piso,lista,2019-06-06 12:40
35,357,domicilio,en curso,2019-03-10 3:09
40,330,domicilio,en curso,2019-08-21 3:35
31,251,piso,lista,2021-06-19 2:01
